"";"Statistik_Code";"Statistik_Label";"Zeit_Code";"Zeit_Label";"Zeit";"X1_Merkmal_Code";"X1_Merkmal_Label";"X1_Auspraegung_Code";"X1_Auspraegung_Label";"X2_Merkmal_Code";"X2_Merkmal_Label";"X2_Auspraegung_Code";"X2_Auspraegung_Label";"X3_Merkmal_Code";"X3_Merkmal_Label";"X3_Auspraegung_Code";"X3_Auspraegung_Label";"BEV001__Lebendgeborene__Anzahl"
"1";12612;"Statistik der Geburten";"JAHR";"Jahr";2009;"DINSG";"Deutschland insgesamt";"DG";"Deutschland";"BEVFL2";"Lebendgeburtenfolge";"GEBFL-1";"erstes Kind";"ALTMT3";"Alter der Mutter";"ALT000B15";"unter 15 Jahre";53
"2";12612;"Statistik der Geburten";"JAHR";"Jahr";2009;"DINSG";"Deutschland insgesamt";"DG";"Deutschland";"BEVFL2";"Lebendgeburtenfolge";"GEBFL-1";"erstes Kind";"ALTMT3";"Alter der Mutter";"ALT015";"15-Jährige";240
"3";12612;"Statistik der Geburten";"JAHR";"Jahr";2009;"DINSG";"Deutschland insgesamt";"DG";"Deutschland";"BEVFL2";"Lebendgeburtenfolge";"GEBFL-1";"erstes Kind";"ALTMT3";"Alter der Mutter";"ALT016";"16-Jährige";898
"4";12612;"Statistik der Geburten";"JAHR";"Jahr";2009;"DINSG";"Deutschland insgesamt";"DG";"Deutschland";"BEVFL2";"Lebendgeburtenfolge";"GEBFL-1";"erstes Kind";"ALTMT3";"Alter der Mutter";"ALT017";"17-Jährige";2059
"5";12612;"Statistik der Geburten";"JAHR";"Jahr";2009;"DINSG";"Deutschland insgesamt";"DG";"Deutschland";"BEVFL2";"Lebendgeburtenfolge";"GEBFL-1";"erstes Kind";"ALTMT3";"Alter der Mutter";"ALT018";"18-Jährige";3695
"6";12612;"Statistik der Geburten";"JAHR";"Jahr";2009;"DINSG";"Deutschland insgesamt";"DG";"Deutschland";"BEVFL2";"Lebendgeburtenfolge";"GEBFL-1";"erstes Kind";"ALTMT3";"Alter der Mutter";"ALT019";"19-Jährige";6840
"7";12612;"Statistik der Geburten";"JAHR";"Jahr";2009;"DINSG";"Deutschland insgesamt";"DG";"Deutschland";"BEVFL2";"Lebendgeburtenfolge";"GEBFL-1";"erstes Kind";"ALTMT3";"Alter der Mutter";"ALT020";"20-Jährige";9190
"8";12612;"Statistik der Geburten";"JAHR";"Jahr";2009;"DINSG";"Deutschland insgesamt";"DG";"Deutschland";"BEVFL2";"Lebendgeburtenfolge";"GEBFL-1";"erstes Kind";"ALTMT3";"Alter der Mutter";"ALT021";"21-Jährige";11346
"9";12612;"Statistik der Geburten";"JAHR";"Jahr";2009;"DINSG";"Deutschland insgesamt";"DG";"Deutschland";"BEVFL2";"Lebendgeburtenfolge";"GEBFL-1";"erstes Kind";"ALTMT3";"Alter der Mutter";"ALT022";"22-Jährige";12609
"10";12612;"Statistik der Geburten";"JAHR";"Jahr";2009;"DINSG";"Deutschland insgesamt";"DG";"Deutschland";"BEVFL2";"Lebendgeburtenfolge";"GEBFL-1";"erstes Kind";"ALTMT3";"Alter der Mutter";"ALT023";"23-Jährige";13957
"11";12612;"Statistik der Geburten";"JAHR";"Jahr";2009;"DINSG";"Deutschland insgesamt";"DG";"Deutschland";"BEVFL2";"Lebendgeburtenfolge";"GEBFL-1";"erstes Kind";"ALTMT3";"Alter der Mutter";"ALT024";"24-Jährige";15309
"12";12612;"Statistik der Geburten";"JAHR";"Jahr";2009;"DINSG";"Deutschland insgesamt";"DG";"Deutschland";"BEVFL2";"Lebendgeburtenfolge";"GEBFL-1";"erstes Kind";"ALTMT3";"Alter der Mutter";"ALT025";"25-Jährige";17690
