"surveyContent/section/question/description","target","title","lead","A1 ","A2","A3","A4","A5","A6","comments"
"1","Hunde die Bellen beißen nicht","Paul und Oskar sind gute Freunde und sprechen über Geld. Paul traut sich nicht, nach einer Lohnerhöhung zu fragen, weil sein Chef gerade sehr gestresst ist und oft Leute anschreit. Paul fragt Oskar: Soll ich meinen Chef nach mehr Lohn fragen? Oskar antwortet: Hunde, die bellen, beißen nicht. Paul zu Oskar: Das ist richtig.","Warum sagt Oskar, Hunde die bellen, beißen nicht?","Weil Oskar glaubt, dass Pauls Vorgesetzter seinem Wunsch zustimmen wird.","Weil Oskar glaubt, Paul sollte mit der Frage warten, bis sein Vorgesetzter weniger Stress hat.","Weil Oskar glaubt, dass Paul von lauten Tieren nicht verletzt werden wird.   ","Weil Vierbeiner ungefährlich werden, wenn sie zum Kläffen ihre ganze Energie verbrauchen.","Weil Oskar weiß, dass Paul den Joghurt aus dem Kühlschrank im Büro klaut.","Weil gerade zwei Autos gleichzeitig auf den Parkplatz gefahren sind. "
"2","Wer im Glashaus sitzt soll nicht mit Steinen werfen","Katja und Lulu sind miteinander befreundet und reden über ihrer Ehemänner. Katja überlegt, ihren zu Mann verlassen, weil er sie kürzlich betrogen hat. Katja fragt Lulu: Soll ich jetzt die Scheidung einreichen? Lulu antwortet: Wer im Glashaus sitzt, sollte nicht mit Steinen werfen. Katja antwortet: Ja, da hast du recht.","Warum sagt Lulu, wer im Glashaus sitzt, sollte nicht mit Steinen werfen?","Weil Lulu weiß, dass Katja ihren Mann ebenfalls betrogen hat.","Weil Lulu glaubt, dass Katja ihren Mann nicht noch einmal betrügen wird.","Weil Lulu nicht möchte, dass Katja die Scheiben kaputt macht.","Weil Katja sich  einem zerbrechlichen Gebäude befindet.","Weil in der Ehe oft mit Gegenständen geworfen wird.","Weil bei der Hochzeit nur drei Leute eingeladen wurden."
"3","Steter Tropfen höhlt den Stein","Tom und Anna haben beide Klavierunterricht und lernen gerade das gleiche Musikstück. Tom spielt es aber nicht so gut wie Anna, weil er nicht so viel übt wie sie. Tom sagt zu Anna: Das Klavierstück werde ich niemals so gut spielen wie du. Anna antwortet: Steter Tropfen höhlt den Stein. Tom sagt darauf: Ja, das ist richtig.","Warum sagt Anna, steter Tropfen höhlt den Stein?","Weil Anna glaubt, dass Tom sich mehr anstrengen sollte.","Weil Anna glaubt, dass Tom kein Talent hat.","Weil Anna glaubt, dass Tom undicht wird.","Weil Tom ein Fels ist. ","Weil Anna glaubt, dass das Orchester im nächsten Jahr auf Tournee gehen wird.","Weil im Konzertsaal die Beleuchtung ausgefallen ist."
"4","Die dümmsten Bauern ernten die dicksten Kartoffeln","Sven und Karla arbeiten in einer Firma und unterhalten sich über ihren Kollegen Andreas. Andreas ist faul und überlässt seine Arbeit gerne anderen. Heute hat Andreas gekündigt, weil er eine Million Euro in der Lotterie gewonnen hat. Sven sagt zu Karla: Es ist kaum zu glauben, dass ausgerechnet Andreas soviel Glück hatte, oder? Karla antwortet: Die dümmsten Bauern ernten die dicksten Kartoffeln. Sven sagt: Ja, das hat sich wieder einmal bestätigt.","Warum sagt Karla, die dümmsten Bauern ernten die dicksten Kartoffeln?","Weil Karla glaubt, dass Andreas das Geld nicht verdient hat.","Weil Karla möchte, dass Andreas nicht mehr arbeitet.","Weil Karla glaubt, dass Andreas ein Landwirt ist.","Weil Andreas riesige Erdäpfel anbaut.","Weil die Reparatur des Traktors sehr teuer war.","Weil im Hofladen Kirschen  im Sonderangebot sind."
"5","Wenn die Katze aus dem Haus ist, tanzen die Mäuse auf dem Tisch.","Die Eltern von Max und Moritz sind übers Wochenende weggefahren. Immer wenn die Eltern weg sind, kommen abends Oma und Opa vorbei, um Max und Moritz ins Bett zu bringen. Als Oma und Opa kommen, liegen Max und Moritz auf dem Sofa, essen Süßigkeiten und gucken Fernsehen. Oma: Na sowas! Um diese Uhrzeit dürfen die Jungs doch kein Fernsehen mehr gucken. Opa: Ja, das stimmt. Wenn die Katze aus dem Haus, tanzen die Mäuse auf dem Tisch. Oma: Das kann man wohl sagen!","Warum sagt Opa, Wenn die Katze aus dem Haus ist, tanzen die Mäuse auf dem Tisch“?","Weil Max und Moritz sich nicht an die Regeln halten, wenn die Eltern nicht da sind.","Weil Max und Moritz sich ordentlich benehmen, wenn die Eltern nicht da sind.","Weil Opa glaubt, dass die Tiere auf den Möbeln herumspringen.","Weil Opa beobachtet hat, dass kleine Tiere von großen gejagt werden.","Weil Opa gerne Süßigkeiten essen möchte.","Weil Opa noch nichts zum Abendbrot gegessen hat und hungrig ist."
"6","Eine Krähe hackt der anderen kein Auge aus.","Auf der Arbeit im Pausenraum ist die neue Kaffeemaschine kaputt gegangen. Die Chefin verspricht eine große Belohnung für die Person, die ihr erzählt wem die Kaffeemaschine kaputt gegangen ist. Sabine: Glaubst du jemand wird zur Chefin gehen und sagen wer es war? Paula: Auf keinen Fall. Eine Krähe hackt der anderen doch kein Auge aus. Sabine: Hm, da bin ich mir nicht so sicher.","Warum sagt Paula, Eine Krähe hackt der anderen doch kein Auge aus?","Weil Paula glaubt, dass die Kolleginnen  zusammenhalten und sich nicht gegenseitig bei ihrer Vorgesetzten verraten.","Weil Paula denkt, dass die Kolleginnen nicht zusammenhalten und sich gegenseitig verraten würden.","Weil Paula weiß, dass Vögel friedlich miteinander umgehen.","Weil Paula beobachtet hat, dass Tiere der selben Art versuchen sich beim Kampf nicht ernsthaft zu verletzen.","Weil Paula weiß, dass Sabine heute Spätschicht hat und noch lange in der Firma sein wird.","Weil Paula weiß, dass Sabine morgen Geburtstag hat."
"7","Wenn das Kind ertrunken ist, deckt man den Brunnen zu.","Anna und Bernd spazieren durchs Dorf und unterhalten sich. An der alten Straßenkreuzung bleiben sie stehen und schauen sich die neu gebaute Ampel an. Anna: Schade das die Ampel letzten Monat noch nicht da war, das hätte den Zusammenstoß der zwei Autos bestimmt verhindert. Bernd: Das stimmt, erst wenn das Kind ertrunken ist, deckt man den Brunnen zu. Anna: Ja, leider.","Warum sagt Bernd, Erst wenn das Kind ertrunken ist, deckt man den Brunnen zu?","Weil die Straße erst sicher gemacht wurde, nachdem der Unfall passiert ist.","Weil der Unfall nicht verhindert werden konnte.","Weil eine Wasserstelle geschlossen wird, sobald dort jemand stirbt.","Weil größere Löcher im Boden gefährlich sind.","Weil sonst alle ihren Müll im Wasser entsorgen.","Weil es draußen nicht besonders warm ist zu dieser Jahreszeit."
"8","Wer anderen eine Grube gräbt, fällt selbst hinein.","Anton will seiner Schwester Lotta ein Bein stellen. Doch als er es machen will gerät er aus dem Gleichgewicht und fällt selbst auf den Boden. Anton: Oh man, wie konnte das nur passieren. Lotta: Tja, wer anderen eine Grube gräbt, fällt selbst hinein. Anton: Ja, aber wirklich.","Warum sagt Lotta, wer anderen eine Grube gräbt, fällt selbst hinein?","Weil Lotta findet, dass Anton selber Schuld ist, dass er gestürzt ist.","Weil Lotta denkt, dass sie Anton zum stürzen gebracht hat.","Weil Anton in sein eigenes Loch gefallen ist.","Weil Anton in das Loch gefallen ist, das er für Lotta gebuddelt hat.","Weil Lotta möchte, dass Anton mit ihr spielt.","Weil Lotta letzte Nacht schlecht geschlafen hat."
"9","Geld regiert die Welt.","***A*** und ***B*** unterhalten sich: ***A***: Hast du das von dem reichen Bauern gehört, der angeblich unser Rathaus gekauft hat? ***B***: Nee. Aber würde mich nicht wundern. ***A***: Wieso? Denkst du, die Stadt verkauft einfach so ihren Regierungssitz? ***B***: Na Geld regiert die Welt. ***A***: Stimmt auch wieder.","Warum ist *Geld regiert die Welt* für Person ***A*** eine zufriedenstellende Antwort?","Weil auch ***A*** denkt, dass der Stadt die Millionen wichtiger sind, als unabhängig zu bleiben.","Weil ***A*** denkt, dass der Stadt ihre Unabhängigkeit wichtiger als irgendwelche Millionen ist.","Weil ***A*** der Meinung ist, dass man sich eben mit genug Mitteln durchaus ein solches Haus leisten kann.","Weil ***A*** denkt, dass ein Stadtgebäude nicht unbedingt so viel kostet.","Weil ***A*** denkt, dass der Unternehmer ein Kino aus dem Gebäude machen will.","Weil sie weiß, dass die Beleuchtung in den Gebäuden erst in der Dämmerung eingeschaltet wird."
"10","Unverhofft kommt oft.","Britta hat schon lange auf die Sonderauflage ihres Lieblingsbuches, Thomas Manns *Zauberberg*, gewartet. Als sie neulich zufällig an einer Buchhandlung vorbeigeht, sieht sie, wie die Verkäuferin gerade diese Sonderauflagen im Schaufenster verteilt. Ha! Unverhofft kommt oft! sagt sie zu sich selbst. Gerade hatte sie im Cafe, wo sie arbeitet, das Trinkgeld des ganzen Monats bekommen.","Warum entfährt ihr der Spruch :Unverhofft kommt oft?","Weil sie nicht erwarten konnte, gerade zufällig einen dicken Umschlag Scheine in der Tasche zu haben, als sie den Zauberberg im Fenster sieht?","Weil sie nicht schon wieder die ganzen schwer verdienten Scheine für Kleinigkeiten ausgeben will?","Weil sie in dem Laden sehr häufig zu viel Geld ausgibt und nicht erwarten kann, dass sich das ändert?","Weil in dem Laden die meiste Zeit nur Ratgeberliteratur verkauft wird?","Weil die Gäste im Cafe heute sehr geizig waren und sie außerdem genug Bücher hat?","Weil auch Tunnel in anderen Gegenden gegraben werden und sie nicht weiß, ob die Schweiz überhaupt zur EU gehört."
